product_id,product_detail_id,seller_id,title,date_post
1,45,105,"Dijual mobil Honda Civic tahun 2019, kondisi sangat terawat. Siap antar jalan-jalan keluarga!",2022-10-11
2,10,8,"Dijual mobil Toyota Agya tahun 2017, kondisi sangat terawat. Siap antar jalan-jalan keluarga!",2022-04-30
3,50,7,"Dijual mobil Suzuki Ertiga tahun 2018, pemakaian pribadi, kilometer rendah. Jaminan performa dan kenyamanan!",2022-11-20
4,18,37,"Dijual mobil Daihatsu Ayla tahun 2015, gabungan sempurna antara performa dan kemewahan. Pengalaman berkendara yang luar biasa!",2022-03-10
5,24,25,"Dijual mobil Daihatsu Terios tahun 2017, tampilan stylish dan performa tangguh. Siap temani petualanganmu!",2023-02-22
6,22,118,"Dijual mobil Daihatsu Terios tahun 2022, gaya modern dengan teknologi terkini. Dijamin memikat perhatian di jalan!",2022-04-28
7,38,74,"Dijual mobil Honda CR-V tahun 2009, kuat dan andal di segala medan. Cocok untuk petualangan di alam terbuka!",2022-05-21
8,18,33,"Dijual mobil Daihatsu Ayla tahun 2015, kondisi sangat terawat. Siap antar jalan-jalan keluarga!",2022-11-01
9,4,54,"Dijual mobil Toyota Yaris tahun 2020, gabungan sempurna antara performa dan kemewahan. Pengalaman berkendara yang luar biasa!",2022-05-16
10,46,78,"Dijual mobil Suzuki Ertiga tahun 2015, kuat dan andal di segala medan. Cocok untuk petualangan di alam terbuka!",2022-05-21
11,1,8,"Dijual mobil Toyota Yaris tahun 2016, kondisi sangat terawat. Siap antar jalan-jalan keluarga!",2022-10-14
12,28,117,"Dijual mobil Daihatsu Xenia tahun 2017, pemakaian pribadi, kilometer rendah. Jaminan performa dan kenyamanan!",2022-12-16
13,25,23,"Dijual mobil Daihatsu Terios tahun 2018, simbol kemewahan dan prestise. Pengalaman berkendara yang tak terlupakan!",2022-07-15
14,49,106,"Dijual mobil Suzuki Ertiga tahun 2012, ruang interior luas untuk keluarga. Dijamin nyaman dan ekonomis!",2022-08-06
15,2,42,"Dijual mobil Toyota Yaris tahun 2018, kuat dan andal di segala medan. Cocok untuk petualangan di alam terbuka!",2022-08-13
16,7,88,"Dijual mobil Toyota Agya tahun 2014, gabungan sempurna antara performa dan kemewahan. Pengalaman berkendara yang luar biasa!",2022-11-27
17,35,81,"Dijual mobil Honda Jazz tahun 2013, pemakaian pribadi, kilometer rendah. Jaminan performa dan kenyamanan!",2022-05-15
